Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Sub_Category,Product_ID,Quantity,Price,Discount,Sales,Profit
ORD-10000,2022-05-02,CUST-1466,Home Office,Central,Technology,Phones,PROD-558,8,315.98,0.0,2527.84,503.58
ORD-10001,2023-01-21,CUST-6311,Consumer,East,Furniture,Bookcases,PROD-559,2,79.85,0.3,111.79,28.85
ORD-10002,2023-05-26,CUST-8849,Home Office,West,Office Supplies,Binders,PROD-786,9,60.25,0.0,542.25,98.25
ORD-10003,2023-04-30,CUST-4890,Home Office,East,Office Supplies,Pens,PROD-940,4,604.57,0.3,1692.8,282.17
ORD-10004,2023-07-19,CUST-8041,Home Office,South,Technology,Accessories,PROD-554,2,1425.88,0.1,2566.58,323.78
ORD-10005,2023-01-23,CUST-4073,Corporate,West,Furniture,Bookcases,PROD-665,1,301.38,0.3,210.97,20.16
ORD-10006,2022-07-21,CUST-1995,Corporate,Central,Office Supplies,Binders,PROD-915,2,95.4,0.1,171.72,27.89
ORD-10007,2023-12-21,CUST-8916,Corporate,Central,Technology,Accessories,PROD-152,9,334.18,0.1,2706.86,355.5
ORD-10008,2022-03-06,CUST-9006,Consumer,South,Office Supplies,Paper,PROD-228,9,457.36,0.0,4116.24,1031.32
ORD-10009,2023-01-14,CUST-6892,Corporate,Central,Technology,Machines,PROD-140,8,338.32,0.2,2165.25,535.99
ORD-10010,2023-02-11,CUST-9996,Home Office,South,Technology,Phones,PROD-971,2,953.78,0.0,1907.56,125.69
ORD-10011,2023-10-05,CUST-4840,Consumer,West,Office Supplies,Pens,PROD-602,3,863.8,0.0,2591.4,759.09
ORD-10012,2023-07-08,CUST-8035,Consumer,Central,Technology,Accessories,PROD-674,9,766.0,0.2,5515.2,865.25
ORD-10013,2022-08-19,CUST-7892,Home Office,Central,Technology,Phones,PROD-640,4,505.82,0.1,1820.95,154.48
ORD-10014,2023-07-11,CUST-3693,Corporate,West,Furniture,Bookcases,PROD-430,6,470.14,0.3,1974.59,557.67
ORD-10015,2023-01-12,CUST-2306,Corporate,East,Office Supplies,Pens,PROD-727,7,1349.33,0.1,8500.78,658.92
ORD-10016,2022-11-14,CUST-4748,Consumer,Central,Furniture,Chairs,PROD-333,6,491.93,0.3,2066.11,379.18
ORD-10017,2023-05-12,CUST-7585,Corporate,Central,Technology,Machines,PROD-485,8,518.64,0.0,4149.12,626.35
ORD-10018,2022-01-02,CUST-5737,Corporate,Central,Technology,Phones,PROD-835,8,264.73,0.0,2117.84,247.14
ORD-10019,2023-11-03,CUST-6535,Home Office,South,Furniture,Chairs,PROD-538,2,397.36,0.0,794.72,136.98
ORD-10020,2023-09-02,CUST-1197,Corporate,Central,Technology,Machines,PROD-610,6,401.13,0.3,1684.75,282.32
ORD-10021,2023-10-22,CUST-3811,Home Office,South,Furniture,Chairs,PROD-502,6,515.13,0.3,2163.55,130.23
ORD-10022,2023-05-04,CUST-3976,Home Office,West,Office Supplies,Pens,PROD-971,4,1223.78,0.3,3426.58,253.72
ORD-10023,2022-10-25,CUST-1262,Corporate,South,Furniture,Bookcases,PROD-671,9,544.55,0.1,4410.85,1240.21
ORD-10024,2022-01-09,CUST-8400,Home Office,Central,Furniture,Tables,PROD-915,5,1494.57,0.0,7472.85,2022.59
ORD-10025,2023-02-24,CUST-5199,Corporate,Central,Technology,Accessories,PROD-211,8,1180.82,0.3,6612.59,469.73
ORD-10026,2023-12-07,CUST-3869,Home Office,South,Office Supplies,Paper,PROD-780,2,1012.08,0.3,1416.91,179.01
ORD-10027,2022-05-15,CUST-2218,Consumer,South,Furniture,Chairs,PROD-132,4,766.15,0.3,2145.22,455.66
ORD-10028,2022-08-18,CUST-4436,Home Office,West,Technology,Machines,PROD-875,6,972.68,0.1,5252.47,1037.19
ORD-10029,2023-04-26,CUST-8996,Home Office,South,Technology,Machines,PROD-646,1,1202.48,0.3,841.74,182.85
ORD-10030,2022-02-06,CUST-3327,Consumer,East,Furniture,Chairs,PROD-401,5,1492.1,0.1,6714.45,957.08
ORD-10031,2022-06-10,CUST-4327,Home Office,South,Furniture,Bookcases,PROD-117,1,1447.25,0.3,1013.08,125.23
ORD-10032,2023-09-18,CUST-8455,Home Office,West,Furniture,Tables,PROD-762,3,1407.42,0.3,2955.58,199.81
ORD-10033,2023-01-28,CUST-8343,Home Office,East,Office Supplies,Pens,PROD-781,2,801.58,0.1,1442.84,339.34
ORD-10034,2023-05-21,CUST-3950,Consumer,South,Technology,Accessories,PROD-784,9,1224.66,0.3,7715.36,2147.26
ORD-10035,2022-12-20,CUST-6919,Home Office,Central,Furniture,Tables,PROD-953,3,1203.9,0.2,2889.36,164.42
ORD-10036,2022-11-01,CUST-5777,Corporate,Central,Technology,Phones,PROD-153,6,274.81,0.1,1483.97,393.4
ORD-10037,2022-01-05,CUST-6222,Corporate,East,Technology,Phones,PROD-983,5,807.25,0.3,2825.38,293.71
ORD-10038,2023-01-05,CUST-1635,Corporate,West,Office Supplies,Pens,PROD-758,8,1064.29,0.3,5960.02,495.79
ORD-10039,2022-04-27,CUST-6949,Home Office,Central,Furniture,Bookcases,PROD-492,7,678.61,0.1,4275.24,240.86
ORD-10040,2023-09-30,CUST-6237,Consumer,South,Furniture,Chairs,PROD-336,1,301.28,0.2,241.02,27.13
ORD-10041,2022-09-04,CUST-9130,Corporate,South,Furniture,Chairs,PROD-534,7,1434.55,0.3,7029.3,1325.65
ORD-10042,2023-03-29,CUST-7617,Consumer,Central,Furniture,Tables,PROD-711,5,70.87,0.2,283.48,17.06
ORD-10043,2022-04-10,CUST-3849,Home Office,West,Furniture,Tables,PROD-861,7,679.08,0.1,4278.2,872.59
ORD-10044,2022-01-16,CUST-3839,Home Office,West,Technology,Accessories,PROD-596,8,776.51,0.0,6212.08,1372.81
ORD-10045,2023-03-03,CUST-6732,Home Office,East,Technology,Accessories,PROD-516,1,881.38,0.0,881.38,222.81
ORD-10046,2022-02-04,CUST-9967,Consumer,West,Office Supplies,Pens,PROD-701,2,333.9,0.0,667.8,49.16
ORD-10047,2023-09-18,CUST-1412,Consumer,East,Office Supplies,Binders,PROD-860,7,428.01,0.3,2097.25,468.15
ORD-10048,2023-07-02,CUST-6073,Consumer,Central,Office Supplies,Paper,PROD-195,3,1138.39,0.0,3415.17,795.43
ORD-10049,2022-08-05,CUST-3914,Consumer,West,Technology,Accessories,PROD-372,1,864.71,0.2,691.77,164.45
ORD-10050,2022-01-19,CUST-1395,Consumer,East,Furniture,Tables,PROD-175,9,770.01,0.1,6237.08,775.95
ORD-10051,2022-05-24,CUST-5980,Consumer,Central,Furniture,Bookcases,PROD-495,4,1437.36,0.2,4599.55,796.9
ORD-10052,2022-02-08,CUST-3156,Consumer,West,Furniture,Bookcases,PROD-285,5,358.46,0.2,1433.84,351.76
ORD-10053,2022-08-23,CUST-9010,Corporate,Central,Technology,Accessories,PROD-687,5,846.82,0.2,3387.28,921.09
ORD-10054,2022-06-23,CUST-2191,Corporate,East,Furniture,Tables,PROD-894,1,1263.6,0.0,1263.6,328.06
ORD-10055,2023-05-11,CUST-2365,Consumer,Central,Office Supplies,Binders,PROD-426,5,167.96,0.1,755.82,224.22
ORD-10056,2023-03-21,CUST-3923,Corporate,Central,Furniture,Chairs,PROD-190,6,1142.4,0.3,4798.08,340.06
ORD-10057,2022-08-08,CUST-4709,Corporate,South,Office Supplies,Binders,PROD-575,3,528.87,0.0,1586.61,83.83
ORD-10058,2022-07-09,CUST-1504,Home Office,South,Furniture,Bookcases,PROD-468,1,991.35,0.2,793.08,155.32
